fldName,cmpLongName,fldCurrentActivitySatus,wlbName,wlbCompletionDate,fldMainArea,fldOwnerKind,fldOwnerName,fldMainSupplyBase,fldNpdidOwner,fldNpdidField,wlbNpdidWellbore,cmpNpdidCompany,fldFactPageUrl,fldFactMapUrl,fldDateUpdated,fldDateUpdatedMax,DatesyncNPD
ALBUSKJELL,ConocoPhillips Skandinavia AS,Shut down,1/6-1,26.11.1972,North sea,PRODUCTION LICENSE,018,,20900,43437,239,2410696,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43437,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43437,02.01.2024,02.01.2024,22.03.2024
ALVE,Equinor Energy AS,Producing,6507/3-1,26.10.1990,Norwegian sea,PRODUCTION LICENSE,159 B,Sandnessjøen,2819945,4444332,1533,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=4444332,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=4444332,02.01.2024,02.01.2024,22.03.2024
ALVE NORD,Aker BP ASA,Approved for production,6607/12-2 S,25.10.2011,Norwegian sea,PRODUCTION LICENSE,127 C,,29427330,42002483,6642,28544099,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=42002483,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=42002483,02.01.2024,02.01.2024,22.03.2024
ALVHEIM,Aker BP ASA,Producing,24/6-2,08.07.1998,North sea,PRODUCTION LICENSE,203,,22436,2845712,3397,28544099,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=2845712,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=2845712,02.01.2024,02.01.2024,22.03.2024
ATLA,TotalEnergies EP Norge AS,Shut down,25/5-7,23.10.2010,North sea,PRODUCTION LICENSE,102 C,,5467035,21106284,6423,35000016,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=21106284,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=21106284,02.01.2024,02.01.2024,22.03.2024
BALDER,Vår Energi ASA,Producing,25/11-1,09.07.1967,North sea,PRODUCTION LICENSE,001,Dusavik,20756,43562,143,50000032,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43562,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43562,02.01.2024,24.02.2024,22.03.2024
BAUGE,Equinor Energy AS,Producing,6407/8-6,20.10.2013,Norwegian sea,PRODUCTION LICENSE,348,Kristiansund,2987047,29446221,7265,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=29446221,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=29446221,02.01.2024,18.02.2024,22.03.2024
BERLING,OMV (Norge) AS,Approved for production,6506/11-10,17.04.2018,Norwegian sea,PRODUCTION LICENSE,644 B,Kristiansund,27434494,42002473,8317,4460594,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=42002473,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=42002473,08.03.2024,02.01.2024,22.03.2024
BLANE,Repsol Norge AS,Producing,1/2-1,04.06.1989,North sea,BUSINESS ARRANGEMENT AREA,BLANE UNIT,,3437667,3437650,1382,27052812,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=3437650,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=3437650,02.01.2024,06.01.2024,22.03.2024
BRAGE,OKEA ASA,Producing,31/4-3,11.05.1980,North sea,BUSINESS ARRANGEMENT AREA,BRAGE UNIT,Mongstad,40432,43651,402,34925006,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43651,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43651,08.03.2024,06.01.2024,22.03.2024
BREIDABLIKK,Equinor Energy AS,Producing,25/8-4,11.08.1992,North sea,BUSINESS ARRANGEMENT AREA,BREIDABLIKK UNIT,Dusavik,39099356,38702206,1986,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=38702206,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=38702206,02.01.2024,02.01.2024,22.03.2024
BRYNHILD,,Shut down,7/7-2,25.04.1992,North sea,,,,,21123063,1868,,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=21123063,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=21123063,02.01.2024,02.01.2024,22.03.2024
BYRDING,Equinor Energy AS,Producing,35/11-13,28.05.2005,North sea,PRODUCTION LICENSE,090 B,Mongstad,3426781,28975067,5063,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=28975067,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=28975067,02.01.2024,18.02.2024,22.03.2024
BØYLA,Aker BP ASA,Producing,24/9-9 S,07.10.2009,North sea,PRODUCTION LICENSE,340,,2986630,22492497,6222,28544099,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=22492497,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=22492497,02.01.2024,02.01.2024,22.03.2024
COD,,Shut down,7/11-1,15.06.1968,North sea,,,,,43785,149,,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43785,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43785,02.01.2024,02.01.2024,22.03.2024
DRAUGEN,OKEA ASA,Producing,6407/9-1,07.09.1984,Norwegian sea,PRODUCTION LICENSE,093,Kristiansund,21548,43758,133,34925006,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43758,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43758,02.01.2024,01.03.2024,22.03.2024
DUVA,Vår Energi Norge AS,Producing,36/7-4,26.09.2016,North sea,PRODUCTION LICENSE,636,Florø,21561151,34833026,7988,50000114,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=34833026,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=34833026,16.02.2024,18.02.2024,22.03.2024
DVALIN,Wintershall Dea Norge AS,Producing,6507/7-14 S,26.09.2010,Norwegian sea,PRODUCTION LICENSE,435,Kristiansund,4238696,29393934,6367,35318843,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=29393934,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=29393934,02.01.2024,02.01.2024,22.03.2024
EDDA,ConocoPhillips Skandinavia AS,Shut down,2/7-4,03.09.1972,North sea,PRODUCTION LICENSE,018,,20900,43541,263,2410696,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43541,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43541,02.01.2024,02.01.2024,22.03.2024
EDVARD GRIEG,Aker BP ASA,Producing,16/1-8,13.11.2007,North sea,PRODUCTION LICENSE,338,Tananger,2986578,21675433,5612,28544099,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=21675433,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=21675433,02.01.2024,28.02.2024,22.03.2024
EIRIN,Equinor Energy AS,Approved for production,15/5-2,16.12.1978,North sea,PRODUCTION LICENSE,048 E,Dusavik,18450020,42002492,316,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=42002492,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=42002492,18.01.2024,01.02.2024,22.03.2024
EKOFISK,ConocoPhillips Skandinavia AS,Producing,2/4-2,24.12.1969,North sea,PRODUCTION LICENSE,018,Tananger,20900,43506,172,2410696,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43506,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43506,02.01.2024,29.02.2024,22.03.2024
ELDFISK,ConocoPhillips Skandinavia AS,Producing,2/7-1,11.12.1970,North sea,PRODUCTION LICENSE,018,Tananger,20900,43527,179,2410696,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43527,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43527,02.01.2024,29.02.2024,22.03.2024
EMBLA,ConocoPhillips Skandinavia AS,Producing,2/7-20,25.06.1988,North sea,PRODUCTION LICENSE,018,Tananger,20900,43534,1062,2410696,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43534,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43534,02.01.2024,02.01.2024,22.03.2024
ENOCH,Repsol Sinopec North Sea Limited,Producing,?,,North sea,BUSINESS ARRANGEMENT AREA,ENOCH UNIT,,3437805,3437659,0,28222425,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=3437659,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=3437659,02.01.2024,07.01.2024,22.03.2024
FENJA,Vår Energi Norge AS,Producing,6406/12-3 S,26.04.2014,Norwegian sea,PRODUCTION LICENSE,586,Kristiansund,20109200,31164879,7322,50000114,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=31164879,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=31164879,16.02.2024,18.02.2024,22.03.2024
FENRIS,Aker BP ASA,Approved for production,2/4-21,24.05.2012,North sea,PRODUCTION LICENSE,146,Tananger,21980,42002478,6736,28544099,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=42002478,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=42002478,02.01.2024,02.01.2024,22.03.2024
FLYNDRE,Repsol Sinopec Resources UK Limited,Shut down,1/5-2,15.04.1974,North sea,BUSINESS ARRANGEMENT AREA,FLYNDRE UNIT,,29395339,24635035,238,28222413,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=24635035,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=24635035,02.01.2024,02.01.2024,22.03.2024
FRAM,Equinor Energy AS,Producing,35/11-4,29.12.1990,North sea,PRODUCTION LICENSE,090,Mongstad,21524,1578840,1523,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=1578840,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=1578840,02.01.2024,18.02.2024,22.03.2024
FRAM H-NORD,Equinor Energy AS,Producing,35/11-15 S,28.06.2007,North sea,BUSINESS ARRANGEMENT AREA,FRAM H-NORD UNIT,Mongstad,23410876,23410947,5517,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=23410947,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=23410947,02.01.2024,18.02.2024,22.03.2024
FRIGG,,Shut down,25/1-1,22.07.1971,North sea,,,,,43555,190,,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43555,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43555,23.01.2024,23.01.2024,22.03.2024
FRØY,Aker BP ASA,Shut down,25/5-1,01.08.1987,North sea,PRODUCTION LICENSE,364,,3810636,43597,884,28544099,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43597,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43597,02.01.2024,02.01.2024,22.03.2024
FULLA,Aker BP ASA,Approved for production,30/11-7,03.02.2009,North sea,PRODUCTION LICENSE,873,,28973585,42002479,5919,28544099,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=42002479,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=42002479,02.01.2024,02.01.2024,22.03.2024
GAUPE,,Shut down,6/3-1,01.02.1985,North sea,,,,,18161341,450,,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=18161341,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=18161341,02.01.2024,02.01.2024,22.03.2024
GIMLE,Equinor Energy AS,Producing,34/10-48 S,22.12.2004,North sea,BUSINESS ARRANGEMENT AREA,BRIME UNIT,Mongstad,41319867,4005142,4902,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=4005142,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=4005142,02.01.2024,02.01.2024,22.03.2024
GINA KROG,Equinor Energy AS,Producing,15/5-1,08.04.1978,North sea,BUSINESS ARRANGEMENT AREA,GINA KROG UNIT,Dusavik,23412556,23384544,315,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=23384544,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=23384544,02.01.2024,01.03.2024,22.03.2024
GJØA,Vår Energi Norge AS,Producing,35/9-1,07.05.1989,North sea,PRODUCTION LICENSE,153,Florø,22036,4467574,1375,50000114,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=4467574,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=4467574,16.02.2024,01.03.2024,22.03.2024
GLITNE,Equinor Energy AS,Shut down,15/5-5,05.10.1995,North sea,PRODUCTION LICENSE,1140,Dusavik,38723926,1272071,2635,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=1272071,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=1272071,02.01.2024,02.01.2024,22.03.2024
GOLIAT,Vår Energi ASA,Producing,7122/7-1,05.10.2000,Barents sea,PRODUCTION LICENSE,229,Hammerfest,22644,5774394,4173,50000032,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=5774394,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=5774394,02.01.2024,01.03.2024,22.03.2024
GRANE,Equinor Energy AS,Producing,25/11-15,25.12.1991,North sea,BUSINESS ARRANGEMENT AREA,GRANE UNIT,Dusavik,1031365,1035937,1872,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=1035937,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=1035937,02.01.2024,01.03.2024,22.03.2024
GUDRUN,Equinor Energy AS,Producing,15/3-1 S,06.07.1975,North sea,PRODUCTION LICENSE,025,Dusavik,34512,18116481,309,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=18116481,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=18116481,02.01.2024,01.03.2024,22.03.2024
GULLFAKS,Equinor Energy AS,Producing,34/10-1,08.09.1978,North sea,PRODUCTION LICENSE,050,Mongstad,21188,43686,424,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43686,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43686,02.01.2024,01.03.2024,22.03.2024
GULLFAKS SØR,Equinor Energy AS,Producing,34/10-2,08.12.1978,North sea,PRODUCTION LICENSE,050,Mongstad,21188,43699,425,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43699,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43699,02.01.2024,14.03.2024,22.03.2024
GUNGNE,Equinor Energy AS,Producing,15/9-15,01.08.1982,North sea,PRODUCTION LICENSE,046,Dusavik,21156,43464,74,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43464,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43464,02.01.2024,01.02.2024,22.03.2024
GYDA,,Shut down,2/1-3,29.03.1980,North sea,,,Tananger,,43492,251,,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43492,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43492,02.01.2024,02.01.2024,22.03.2024
HALTEN ØST,Equinor Energy AS,Approved for production,6507/11-6,08.07.2001,Norwegian sea,BUSINESS ARRANGEMENT AREA,HALTEN ØST UNIT,Kristiansund,38215610,42148955,4321,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=42148955,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=42148955,02.01.2024,02.01.2024,22.03.2024
HANZ,Aker BP ASA,Approved for production,25/10-8,07.04.1997,North sea,PRODUCTION LICENSE,028 B,Tananger,917484,25307278,2955,28544099,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=25307278,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=25307278,02.01.2024,01.03.2024,22.03.2024
HEIDRUN,Equinor Energy AS,Producing,6507/7-2,10.06.1985,Norwegian sea,BUSINESS ARRANGEMENT AREA,HEIDRUN UNIT,Kristiansund,40490,43771,464,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43771,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43771,02.01.2024,01.03.2024,22.03.2024
HEIMDAL,Equinor Energy AS,Shut down,25/4-1,09.12.1972,North sea,PRODUCTION LICENSE,036 BS,Dusavik,2473189,43590,359,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43590,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43590,02.01.2024,01.03.2024,22.03.2024
HOD,Aker BP ASA,Producing,2/11-2,29.12.1974,North sea,PRODUCTION LICENSE,033,Tananger,21052,43485,285,28544099,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43485,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43485,02.01.2024,01.03.2024,22.03.2024
HUGIN,Aker BP ASA,Approved for production,25/2-10 S,19.03.1986,North sea,PRODUCTION LICENSE,442,,4237510,42002474,855,28544099,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=42002474,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=42002474,24.01.2024,24.01.2024,22.03.2024
HULDRA,Equinor Energy AS,Shut down,30/2-1,12.10.1982,North sea,PRODUCTION LICENSE,878,Mongstad,28973861,97002,72,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=97002,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=97002,02.01.2024,01.03.2024,22.03.2024
HYME,Equinor Energy AS,Producing,6407/8-5 S,26.05.2009,Norwegian sea,PRODUCTION LICENSE,348,Kristiansund,2987047,20474183,6110,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=20474183,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=20474183,02.01.2024,18.02.2024,22.03.2024
IDUN NORD,Aker BP ASA,Approved for production,6507/3-7,22.07.2009,Norwegian sea,PRODUCTION LICENSE,159 D,,4939421,42002477,6123,28544099,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=42002477,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=42002477,02.01.2024,02.01.2024,22.03.2024
IRPA,Equinor Energy AS,Approved for production,6705/10-1,19.03.2009,Norwegian sea,PRODUCTION LICENSE,327 B,,4720054,42002482,6044,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=42002482,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=42002482,13.03.2024,02.01.2024,22.03.2024
ISLAY,TotalEnergies E&P UK Limited,Producing,?,,North sea,BUSINESS ARRANGEMENT AREA,ISLAY UNIT,,27122635,21105675,0,35000018,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=21105675,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=21105675,02.01.2024,02.01.2024,22.03.2024
IVAR AASEN,Aker BP ASA,Producing,16/1-9,22.04.2008,North sea,BUSINESS ARRANGEMENT AREA,IVAR AASEN UNIT,Tananger,25307128,23384520,5773,28544099,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=23384520,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=23384520,02.01.2024,01.03.2024,22.03.2024
JETTE,,Shut down,25/8-17,29.10.2009,North sea,,,,,21613906,6185,,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=21613906,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=21613906,02.01.2024,02.01.2024,22.03.2024
JOHAN CASTBERG,Equinor Energy AS,Approved for production,7220/8-1,02.05.2011,Barents sea,PRODUCTION LICENSE,532,Hammerfest,5463659,32017325,6484,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=32017325,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=32017325,02.01.2024,01.03.2024,22.03.2024
JOHAN SVERDRUP,Equinor Energy AS,Producing,16/2-6,20.09.2010,North sea,BUSINESS ARRANGEMENT AREA,JOHAN SVERDRUP UNIT,Dusavik,26312510,26376286,6374,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=26376286,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=26376286,02.01.2024,28.02.2024,22.03.2024
JOTUN,Vår Energi ASA,Shut down,25/8-5 S,22.09.1994,North sea,PRODUCTION LICENSE,1203,Dusavik,38724022,43604,2390,50000032,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43604,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43604,22.03.2024,01.03.2024,22.03.2024
KNARR,,Shut down,34/3-1 S,10.09.2008,North sea,,,Florø,,20460988,5811,,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=20460988,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=20460988,02.01.2024,01.03.2024,22.03.2024
KRISTIN,Equinor Energy AS,Producing,6406/2-3,15.04.1997,Norwegian sea,BUSINESS ARRANGEMENT AREA,HALTENBANKEN VEST UNIT,Kristiansund,1854695,1854729,2849,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=1854729,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=1854729,02.01.2024,01.03.2024,22.03.2024
KVITEBJØRN,Equinor Energy AS,Producing,34/11-1,25.10.1994,North sea,PRODUCTION LICENSE,193,Mongstad,22356,1036101,2377,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=1036101,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=1036101,02.01.2024,01.03.2024,22.03.2024
LILLE-FRIGG,Aker BP ASA,Shut down,25/2-4,20.10.1975,North sea,PRODUCTION LICENSE,873,,28973585,43583,356,28544099,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43583,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43583,02.01.2024,02.01.2024,22.03.2024
MARIA,Wintershall Dea Norge AS,Producing,6406/3-8,10.08.2010,Norwegian sea,PRODUCTION LICENSE,475 BS,,5107669,26465170,6350,35318843,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=26465170,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=26465170,02.01.2024,02.01.2024,22.03.2024
MARTIN LINGE,Equinor Energy AS,Producing,30/7-6 R,03.06.1978,North sea,BUSINESS ARRANGEMENT AREA,MARTIN LINGE UNIT,Tananger/Dusavik,3812119,21675447,507,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=21675447,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=21675447,02.01.2024,15.03.2024,22.03.2024
MARULK,Vår Energi ASA,Producing,6507/2-2,16.03.1992,Norwegian sea,PRODUCTION LICENSE,122,Sandnessjøen,21788,18212090,1840,50000032,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=18212090,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=18212090,02.01.2024,02.01.2024,22.03.2024
MIKKEL,Equinor Energy AS,Producing,6407/6-3,16.02.1987,Norwegian sea,BUSINESS ARRANGEMENT AREA,MIKKEL UNIT,Kristiansund,1629477,1630514,1024,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=1630514,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=1630514,02.01.2024,02.01.2024,22.03.2024
MIME,,Shut down,7/11-5,10.06.1982,North sea,,,,,43792,42,,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43792,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=43792,02.01.2024,02.01.2024,22.03.2024
MORVIN,Equinor Energy AS,Producing,6506/11-7,27.07.2001,Norwegian sea,PRODUCTION LICENSE,134 B,Kristiansund,1025257,4966234,3322,32011216,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=4966234,https://factmaps.sodir.no/factmaps/3_0/?run=FieldByNPDID&NPDID=4966234,02.01.2024,02.01.2024,22.03.2024
